ID,N,PF,PRF,RF,SF,SPF,SRF,SPRF
221,-0.000187,-0.007112,0.006466,0.007026,-0.002501,0.013702,0.004247,0.003942
222,0.002789,0.012479,-0.003955,-0.003306,0.004079,0.000909,-0.002306,0.002695
223,-0.000349,-0.005339,0.008967,0.00905,0.002262,0.003163,-0.004757,-0.003835
224,0.002732,0.004938,-0.010519,-0.002264,0.001958,0.000436,0.005295,0.002975
225,0.003081,-0.00431,0.013498,0.001774,-0.001493,-0.005101,0.002894,0.004146
226,0.002438,0.009059,-0.009093,-0.000114,0.002905,0.008385,0.006717,0.003909
227,0.000156,-0.005856,0.00816,0.001544,0.003928,-0.002306,-0.00343,-0.002662
228,-0.000339,0.009598,0.00109,0.003314,0.00051,0.005389,0.003544,0.001355
229,0.002262,-0.006465,0.001094,0.00088,-0.001541,0.000143,-0.003829,0.002914
230,0.001862,0.005403,0.002054,0.002086,0.005839,0.007541,0.000841,0.001907
231,0.002698,0.002325,-0.003083,0.002067,-0.000378,-0.003755,0.002773,8.11E-05
232,0.000998,-0.000278,0.004737,-0.000337,0.002316,-0.000192,0.005187,0.001611
233,0.001766,0.002933,0.000687,0.002471,-0.000848,-0.000158,0.002272,0.002724
234,0.002992,-0.001083,0.002657,-0.000958,0.004898,0.002744,-0.001221,0.004061
235,-0.000146,0.003236,-6.05E-05,0.005425,-0.001305,0.011699,0.000305,0.001774
236,0.001046,0.001906,0.002646,-0.000134,0.003156,-0.005483,-0.000265,-0.000471
237,0.000641,0.00305,0.003565,0.002864,0.002798,0.003145,0.002701,0.000318
238,0.003766,-0.001845,-0.001156,-0.001499,-0.001621,-0.002846,0.000551,0.002282
239,0.001789,0.002859,0.000603,0.004061,0.003309,0.005119,0.001611,0.005032
240,0.002341,0.002497,0.001776,-0.000673,-0.000936,0.002544,0.002521,0.001752
241,0.00062,-0.00111,0.004117,0.0042,0.00544,-0.0014,0.006937,0.001583
242,0.001654,0.005536,0.000178,0.000287,-1.39E-06,0.004122,-0.010607,-0.000426
243,-0.000876,-0.003476,0.00132,0.001883,0.001871,0.002054,0.004172,0.002846
244,0.002858,0.006388,-0.000283,-0.001521,-0.000197,0.007184,0.007938,-0.000383
245,0.002582,0.000193,0.008967,0.004074,0.001736,-0.007128,0.004285,0.000971
246,0.002477,0.00051,-0.009639,0.001331,0.004909,0.003055,0.010177,0.002146
247,0.001392,0.000586,0.000684,0.004458,-0.005118,0.001125,-0.047552,0.00446
248,0.000395,0.00143,0.009357,6.36E-05,0.007896,0.006878,0.047502,0.00424
249,0.001857,0.004187,-0.002764,0.000701,-0.000629,0.00183,-0.00881,-0.00283
250,0.001146,0.001876,0.010681,-0.001319,0.003234,-0.003,0.02721,-0.000594
251,0.001368,0.000336,-0.011867,0.002373,-0.002853,0.002977,-0.064847,0.002189
252,0.001631,-0.00142,0.015115,0.003965,0.004654,0.000777,0.056699,0.005251
253,0.003217,0.004121,-0.009152,0.000366,-0.001367,0.005628,-0.031522,0.002617
254,0.002161,0.001466,-0.001047,0.001254,0.006178,-0.002269,0.042529,0.001148
255,0.000959,0.002198,0.003567,0.005583,-0.001339,9.41E-05,-0.046952,0.001872
256,-0.000589,0.000944,0.003021,-6.50E-05,0.001567,0.005164,0.025968,0.000771
257,0.001379,0.000951,0.012018,0.003383,0.004133,0.007357,-0.000264,0.001648
258,0.002232,0.003455,-0.010359,-0.010816,-0.001928,-0.00486,0.011641,-0.001274
259,0.003286,-0.00127,0.004379,0.009002,0.003362,0.00036,-0.018509,0.001931
260,0.0021,0.001913,0.005716,0.001081,-0.00127,-0.00011,0.007971,0.004022
261,0.000814,0.000616,-0.010926,0.010662,0.004185,0.009054,0.006273,0.006189
262,0.001361,0.005965,0.014398,-0.004808,0.002461,-0.001607,0.006352,-0.001054
263,8.95E-05,-0.000628,-0.014853,0.002471,0.002236,0.003222,-0.009589,-0.003991
264,0.00166,0.000564,0.020399,-0.00292,-0.000918,-0.00266,-0.002162,0.001678
265,0.002189,0.000229,-0.005878,0.001919,0.000476,0.007387,0.012738,0.005466
266,0.002743,0.003315,0.001352,1.42E-05,0.00337,0.000174,-0.001067,0.002735
267,0.002196,0.00195,0.002706,0.005169,0.000448,-0.001884,-0.001321,0.0035
268,0.000432,0.000444,-0.00032,0.001671,0.002653,0.001972,-0.007529,-0.000187
269,0.001258,0.001796,0.004409,0.008018,0.001326,0.004802,0.012813,0.001354
270,0.001151,0.001816,-0.012374,-0.003706,0.002966,0.003899,0.001165,-0.002664
271,0.000866,0.001764,0.017995,-0.001832,0.001263,-0.004229,-0.001277,0.006997
272,0.003086,0.000291,-0.00272,-0.002554,-0.00181,0.001827,-0.005615,0.00114
273,0.002402,0.001869,0.003905,0.005746,0.00151,0.010331,0.006724,0.004151
274,0.00178,0.001302,-0.005907,0.006482,0.001871,0.002146,0.00761,0.002242
275,0.000625,0.002428,0.005876,0.000142,0.005255,-0.003043,-0.001402,-0.004834
276,-0.000428,0.001478,0.001444,0.001221,-4.82E-05,-0.010885,-0.004469,0.000138
277,0.002937,0.000968,-0.004082,0.000445,0.001068,0.009004,0.006956,0.004012
278,0.002433,0.00212,0.002718,0.00096,-0.001261,0.009431,-0.000511,0.004946
279,0.001263,0.000717,0.007304,-0.002268,0.004588,0.006402,0.004287,0.001524
280,0.001569,0.00215,0.004334,0.003045,-0.000413,-0.007729,-0.004249,0.000921
281,0.002534,0.000816,-0.005648,0.004377,0.001987,-0.001088,0.004944,0.00443
282,-0.000821,0.001818,-0.000142,0.002296,0.001895,0.002272,0.00082,-0.002186
283,0.004934,0.000257,0.008564,0.0041,0.003176,0.014173,0.000229,-0.000654
284,-0.001903,0.003545,-0.005418,-0.00227,0.001155,-0.008761,-0.000583,0.003109
285,0.002836,0.001602,0.003212,-0.001148,-0.001208,-0.002488,0.001605,0.004795
286,0.001943,1.48E-05,0.001213,0.001876,0.000971,0.007015,0.002996,0.002477
287,0.002767,0.002647,0.003493,0.000236,0.003319,0.005009,-0.000725,0.000857
288,0.00089,-0.000133,0.001046,0.00621,0.003599,0.002962,0.005279,0.003253
289,0.000158,0.004142,0.002947,0.003266,0.001123,-0.00509,-0.001519,9.54E-05
290,0.002372,-0.000665,-0.003689,0.003266,-0.00212,0.004572,0.000118,-0.002384
291,0.001426,0.002529,0.008389,-0.003313,0.005571,0.000866,0.006919,0.000631
292,0.00304,0.000419,-0.008026,-0.001041,-0.002557,0.006789,-0.004488,0.005497
293,0.001624,0.004078,0.006823,-0.000432,0.002703,-0.004541,0.005198,0.004381
294,-0.002505,-0.000591,0.004161,0.004208,0.001686,0.002041,-0.003092,-2.09E-05
295,0.00695,0.002643,0.001194,0.005514,0.00561,0.001956,0.007975,0.001111
296,-0.00047,-0.001054,-0.000338,-0.000356,-0.002102,0.007213,-0.003789,3.89E-05
297,0.000896,0.003384,0.0005,0.004039,0.002922,-0.000922,0.003168,0.00159
298,0.002416,-4.75E-05,0.002769,0.000284,-0.002324,-0.00138,-0.000333,0.001576
299,0.00107,0.004937,-0.002919,-0.001273,0.004371,0.000809,0.002304,0.003617
300,0.002402,-0.000202,0.006459,-0.000329,0.000943,0.007026,-0.000928,0.003145
301,-0.000224,0.000544,-0.001534,-0.003187,-0.000408,-5.53E-05,0.002929,0.002616
302,0.004043,0.003379,0.005638,0.011926,0.010342,0.00074,0.000217,0.000438
303,-0.000916,0.00028,0.000508,0.002405,-0.008038,0.001031,0.002078,-0.000596
304,0.003904,0.001921,-0.002877,0.000972,0.006095,0.003658,0.001586,0.000375
305,0.000179,0.000539,0.004759,-0.003508,-0.002931,0.003963,0.001984,0.002792
306,0.004483,0.002831,-0.001671,0.003651,0.005735,-0.002284,0.000775,0.004871
307,-0.004366,-0.000187,0.005694,0.000644,-0.001814,-0.001934,0.00059,0.001646
308,0.006617,0.004963,-0.002588,-0.001474,0.003953,0.006655,0.004893,-0.001808
309,-5.40E-05,-0.001535,0.005649,0.001336,0.000615,0.007306,-0.000778,0.002167
